cases	ccases	sno
1	1	1
1	2	2
0	2	3
1	3	4
0	3	5
2	5	6
1	6	7
1	7	8
2	9	9
0	9	10
0	9	11
0	9	12
0	9	13
0	9	14
0	9	15
0	9	16
0	9	17
1	10	18
0	10	19
0	10	20
1	11	21
1	12	22
1	13	23
1	14	24
6	20	25
1	21	26
1	22	27
3	25	28
7	32	29
3	35	30
2	37	31
5	42	32
3	45	33
1	46	34
0	46	35
1	47	36
1	48	37
1	49	38
0	49	39
0	49	40
0	49	41
0	49	42
1	50	43
0	50	44
2	52	45
5	57	46
4	61	47
1	62	48
7	69	49
5	74	50
3	77	51
6	83	52
9	92	53
4	96	54
2	98	55
6	104	56
0	104	57
3	107	58
4	111	59
3	114	60
0	114	61
0	114	62
0	114	63
0	114	64
0	114	65
0	114	66
0	114	67
3	117	68
7	124	69
11	135	70
16	151	71
11	162	72
0	162	73
0	162	74
0	162	75
0	162	76
0	162	77
0	162	78
0	162	79
0	162	80
0	162	81
0	162	82
0	162	83
0	162	84
0	162	85
0	162	86
0	162	87
0	162	88
0	162	89
0	162	90
0	162	91
0	162	92
0	162	93
0	162	94
0	162	95
0	162	96
0	162	97
0	162	98
0	162	99
0	162	100
0	162	101
0	162	102
0	162	103
0	162	104
0	162	105
0	162	106
0	162	107
0	162	108
0	162	109
0	162	110
0	162	111
0	162	112
0	162	113
0	162	114
0	162	115
0	162	116
0	162	117
0	162	118
0	162	119
0	162	120
0	162	121
0	162	122
0	162	123
0	162	124
0	162	125
0	162	126
0	162	127
0	162	128
0	162	129
0	162	130
0	162	131
0	162	132
0	162	133
0	162	134
0	162	135
0	162	136
0	162	137
0	162	138
0	162	139
0	162	140
0	162	141
0	162	142
0	162	143
0	162	144
0	162	145
0	162	146
0	162	147
0	162	148
0	162	149
0	162	150
0	162	151
0	162	152
0	162	153
0	162	154
0	162	155
0	162	156
0	162	157
0	162	158
0	162	159
0	162	160
0	162	161
0	162	162
0	162	163
0	162	164
0	162	165
0	162	166
0	162	167
0	162	168
0	162	169
0	162	170
0	162	171
0	162	172
0	162	173
0	162	174
0	162	175
0	162	176
0	162	177
0	162	178
0	162	179
0	162	180
0	162	181
0	162	182
0	162	183
0	162	184
0	162	185
0	162	186
0	162	187
0	162	188
0	162	189
0	162	190
0	162	191
0	162	192
2	164	193
0	164	194
1	165	195
1	166	196
2	168	197
2	170	198
2	172	199
0	172	200
0	172	201
1	173	202
0	173	203
0	173	204
0	173	205
0	173	206
1	174	207
0	174	208
0	174	209
0	174	210
0	174	211
1	175	212
2	177	213
2	179	214
3	182	215
2	184	216
1	185	217
1	186	218
0	186	219
0	186	220
1	187	221
0	187	222
0	187	223
0	187	224
0	187	225
0	187	226
0	187	227
0	187	228
0	187	229
1	188	230
0	188	231
0	188	232
0	188	233
0	188	234
1	189	235
2	191	236
1	192	237
0	192	238
3	195	239
0	195	240
1	196	241
0	196	242
0	196	243
0	196	244
1	197	245
0	197	246
0	197	247
0	197	248
33	230	249
0	230	250
0	230	251
0	230	252
0	230	253
0	230	254
0	230	255
0	230	256
0	230	257
0	230	258
0	230	259
1	231	260
1	232	261
1	233	262
0	233	263
2	235	264
0	235	265
0	235	266
1	236	267
0	236	268
0	236	269
0	236	270
0	236	271
0	236	272
1	237	273
0	237	274
0	237	275
0	237	276
0	237	277
0	237	278
0	237	279
0	237	280
0	237	281
1	238	282
0	238	283
2	240	284
1	241	285
0	241	286
0	241	287
0	241	288
0	241	289
0	241	290
0	241	291
0	241	292
0	241	293
0	241	294
0	241	295
0	241	296
0	241	297
0	241	298
0	241	299
0	241	300
0	241	301
0	241	302
0	241	303
0	241	304
0	241	305
0	241	306
1	242	307
0	242	308
0	242	309
0	242	310
0	242	311
1	243	312
0	243	313
0	243	314
1	244	315
2	246	316
0	246	317
1	247	318
1	248	319
0	248	320
0	248	321
0	248	322
0	248	323
0	248	324
0	248	325
0	248	326
0	248	327
0	248	328
0	248	329
0	248	330
0	248	331
0	248	332
0	248	333
0	248	334
0	248	335
0	248	336
0	248	337
0	248	338
0	248	339
0	248	340
0	248	341
0	248	342
0	248	343
0	248	344
0	248	345
0	248	346
0	248	347
0	248	348
0	248	349
0	248	350
0	248	351
0	248	352
0	248	353
2	250	354
0	250	355
2	252	356
