"date","hour","total_infection","datetime","cumulative_case"
"11/20/2023","0:00:00",1,2023-11-20,1
"11/20/2023","1:00:00",1,2023-11-20 01:00:00,2
"11/20/2023","2:00:00",0,2023-11-20 02:00:00,2
"11/20/2023","3:00:00",1,2023-11-20 03:00:00,3
"11/20/2023","4:00:00",0,2023-11-20 04:00:00,3
"11/20/2023","5:00:00",2,2023-11-20 05:00:00,5
"11/20/2023","6:00:00",1,2023-11-20 06:00:00,6
"11/20/2023","7:00:00",1,2023-11-20 07:00:00,7
"11/20/2023","8:00:00",2,2023-11-20 08:00:00,9
"11/20/2023","9:00:00",0,2023-11-20 09:00:00,9
"11/20/2023","10:00:00",0,2023-11-20 10:00:00,9
"11/20/2023","11:00:00",0,2023-11-20 11:00:00,9
"11/20/2023","12:00:00",0,2023-11-20 12:00:00,9
"11/20/2023","13:00:00",0,2023-11-20 13:00:00,9
"11/20/2023","14:00:00",0,2023-11-20 14:00:00,9
"11/20/2023","15:00:00",0,2023-11-20 15:00:00,9
"11/20/2023","16:00:00",0,2023-11-20 16:00:00,9
"11/20/2023","17:00:00",1,2023-11-20 17:00:00,10
"11/20/2023","18:00:00",0,2023-11-20 18:00:00,10
"11/20/2023","19:00:00",0,2023-11-20 19:00:00,10
"11/20/2023","20:00:00",1,2023-11-20 20:00:00,11
"11/20/2023","21:00:00",1,2023-11-20 21:00:00,12
"11/20/2023","22:00:00",1,2023-11-20 22:00:00,13
"11/20/2023","23:00:00",1,2023-11-20 23:00:00,14
"11/21/2023","0:00:00",6,2023-11-21,20
"11/21/2023","1:00:00",1,2023-11-21 01:00:00,21
"11/21/2023","2:00:00",1,2023-11-21 02:00:00,22
"11/21/2023","3:00:00",3,2023-11-21 03:00:00,25
"11/21/2023","4:00:00",7,2023-11-21 04:00:00,32
"11/21/2023","5:00:00",3,2023-11-21 05:00:00,35
"11/21/2023","6:00:00",2,2023-11-21 06:00:00,37
"11/21/2023","7:00:00",5,2023-11-21 07:00:00,42
"11/21/2023","8:00:00",3,2023-11-21 08:00:00,45
"11/21/2023","9:00:00",1,2023-11-21 09:00:00,46
"11/21/2023","10:00:00",0,2023-11-21 10:00:00,46
"11/21/2023","11:00:00",1,2023-11-21 11:00:00,47
"11/21/2023","12:00:00",1,2023-11-21 12:00:00,48
"11/21/2023","13:00:00",1,2023-11-21 13:00:00,49
"11/21/2023","14:00:00",0,2023-11-21 14:00:00,49
"11/21/2023","15:00:00",0,2023-11-21 15:00:00,49
"11/21/2023","16:00:00",0,2023-11-21 16:00:00,49
"11/21/2023","17:00:00",0,2023-11-21 17:00:00,49
"11/21/2023","18:00:00",1,2023-11-21 18:00:00,50
"11/21/2023","19:00:00",0,2023-11-21 19:00:00,50
"11/21/2023","20:00:00",2,2023-11-21 20:00:00,52
"11/21/2023","21:00:00",5,2023-11-21 21:00:00,57
"11/21/2023","22:00:00",4,2023-11-21 22:00:00,61
"11/21/2023","23:00:00",1,2023-11-21 23:00:00,62
"11/22/2023","0:00:00",7,2023-11-22,69
"11/22/2023","1:00:00",5,2023-11-22 01:00:00,74
"11/22/2023","2:00:00",3,2023-11-22 02:00:00,77
"11/22/2023","3:00:00",6,2023-11-22 03:00:00,83
